,Unnamed: 0,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,publicationyear,age,agecategory,timecategory
10457,14450,PG23006,"Five Hundred Dollars: First published in the ""Century Magazine""","Chaplin, Heman White",1847,1924,['en'],0,{'New England -- Social life and customs -- Fiction'},Text,1912,65,4,
23386,31831,PG38651,Talvi-iltain tarinoita 5: Sumutarinoita.,"Topelius, Zacharias",1818,1898,['fi'],1,{'Swedish fiction -- Translations into Finnish'},Text,1884,66,4,10
9001,12473,PG21227,Shenac's Work at Home,"Robertson, Margaret M. (Margaret Murray)",1821,1897,['en'],1,"{'Scots -- Ontario -- Fiction', 'Women -- Ontario -- Fiction', 'Glengarry (Ont.) -- Fiction', 'Domestic fiction'}",Text,1890,69,4,10
23468,31940,PG3874,Memoirs of Louis XIV and His Court and of the Regency — Volume 15,"Saint-Simon, Louis de Rouvroy, duc de",1675,1755,['en'],1,"{'France -- History -- Regency, 1715-1723', 'France -- History -- Louis XIV, 1643-1715', 'France -- Court and courtiers'}",Text,1906,231,4,10
23979,32618,PG3935,A Woodland Queen ('Reine des Bois') — Volume 1,"Theuriet, André",1833,1907,['en'],1,{'Villages -- France -- Fiction'},Text,1916,83,4,
23014,31325,PG38196,Eunice,"Robertson, Margaret M. (Margaret Murray)",1821,1897,['en'],1,"{'New England -- Social life and customs -- Fiction', 'Domestic fiction'}",Text,1848,27,1,6
9901,13628,PG22267,A Woman for Mayor: A Novel of To-day,"Winslow, Helen M. (Helen Maria)",1851,1938,['en'],1,"{'Women -- Political activity -- Fiction', 'Women mayors -- Fiction', 'Political fiction'}",Text,1886,35,2,10
23999,32647,PG39386,Eredeti népmesék (2. rész),"Merényi, László",1837,1907,['hu'],1,{'Tales -- Hungary'},Text,1875,38,2,9
18475,25349,PG32816,Szirmay Ilona: Történeti regény,"Gaal, József",1811,1866,['hu'],1,{'Fiction'},Text,1907,96,4,10
5861,8205,PG17387,Mr. Bamboo and the Honorable Little God: A Christmas Story,"Little, Frances",1863,1941,['en'],2,"{'Japan -- Fiction', 'Christmas stories'}",Text,1907,44,2,10
18836,25841,PG33259,The Day of His Youth,"Brown, Alice",1857,1948,['en'],2,"{'Man-woman relationships -- Fiction', 'Young men -- Fiction', 'Fathers and sons -- Fiction'}",Text,1871,14,-1,9
18833,25838,PG33256,Margery Beade ja Beden armeliaisuus,"Stretton, Hesba",1832,1911,['fi'],2,"{'Brothers and sisters -- Fiction', 'England -- Social life and customs -- Fiction', 'Christian life -- Fiction', 'Single women -- Fiction'}",Text,1850,18,0,6
15460,21397,PG2925,"The Conditions of Existence as Affecting the Perpetuation of Living Beings: Lecture V. (of VI.), ""Lectures to Working Men"", at the Museum of Practical Geology, 1863, on Darwin's Work: ""Origin of Species""","Huxley, Thomas Henry",1825,1895,['en'],2,"{'Darwin, Charles, 1809-1882. On the origin of species', 'Evolution (Biology)'}",Text,1830,5,-1,4
19114,26208,PG3358,"Letters to His Son, 1756-58: On the Fine Art of Becoming a Man of the World and a Gentleman","Chesterfield, Philip Dormer Stanhope, Earl of",1694,1773,['en'],2,{'Conduct of life'},Text,1898,204,4,10
18639,25563,PG33008,Landolin,"Auerbach, Berthold",1812,1882,['en'],2,{'German fiction -- Translations into English'},Text,1861,49,2,8
19604,26836,PG34154,"Schetsen, Eerste bundel","Heijermans, Herman",1864,1924,['nl'],2,{'Fiction'},Text,1865,1,-1,8
9741,13388,PG22050,Life and Conduct,"Lees, J. Cameron (James Cameron)",1834,1913,['en'],2,{'Conduct of life'},Text,1850,16,-1,6
18107,24871,PG32386,Το συναξάρι του Παπά-Παρθένη κι' άλλες νησιώτικες ιστορίες,"Nirvanas, Paulos",1866,1937,['el'],2,"{'Greek fiction, Modern'}",Text,1870,4,-1,8
1627,2536,PG12283,The Soul of a Child,"Björkman, Edwin",1866,1951,['en'],2,"{'Boys -- Fiction', 'Stockholm (Sweden) -- Fiction'}",Text,1888,22,0,10
20810,28386,PG3554,Memoirs of Napoleon Bonaparte — Volume 04,"Bourrienne, Louis Antoine Fauvelet de",1769,1834,['en'],2,"{'Napoleon I, Emperor of the French, 1769-1821 -- Relations with private secretaries', 'Napoleon I, Emperor of the French, 1769-1821 -- Contemporaries', 'Napoleon I, Emperor of the French, 1769-1821', 'Bourrienne, Louis Antoine Fauvelet de, 1769-1834', 'Private secretaries -- France -- Biography'}",Text,1907,138,4,10
21365,29098,PG36191,"Νόμοι και Επινομίς, Τόμος Γ",Plato,-428,-348,['el'],2,"{'State, The -- Early works to 1800', 'Political science -- Early works to 1800'}",Text,1891,2319,4,10
22918,31203,PG38086,The Social Evolution of the Argentine Republic,"Quesada, Ernesto",1858,1934,['en'],3,"{'Argentina -- Social conditions', 'Argentina -- Civilization'}",Text,1903,45,2,10
10345,14253,PG2282,"Tales for Fifteen; Or, Imagination and Heart","Cooper, James Fenimore",1789,1851,['en'],3,"{'New York (N.Y.) -- Juvenile fiction', 'Girls -- Conduct of life -- Juvenile fiction'}",Text,1821,32,1,4
18809,25805,PG33226,"No Moss; Or, The Career of a Rolling Stone","Castlemon, Harry",1842,1915,['en'],3,"{'Conduct of life -- Juvenile fiction', 'Newport (R.I.) -- Juvenile fiction', 'Children -- Conduct of life -- Juvenile fiction', 'Yachts -- Juvenile fiction', 'Young men -- Juvenile fiction', 'Adventure stories', 'Islands -- Juvenile fiction'}",Text,1897,55,3,10
23662,32204,PG38988,Kurittaja,"Dahl, Jonas Anton",1849,1919,['fi'],3,{'Fiction'},Text,1871,22,0,9
21285,28993,PG36096,Ο Αυτοκράτωρ Ιουστινιανός,"Karolides, Paulos",1849,1930,['el'],3,"{'Justinian I, Emperor of the East, 483?-565', 'Byzantine Empire -- History -- Justinian I, 527-565'}",Text,1888,39,2,10
10547,14568,PG23112,"The Kitchen Cat, and other Tales","Walton, Amy",1848,1899,['en'],3,"{""Children's stories, English""}",Text,1902,54,3,10
19030,26093,PG33486,"Songs of the Silent World, and Other Poems","Phelps, Elizabeth Stuart",1844,1911,['en'],3,{'Poetry'},Text,1912,68,4,
19032,26097,PG3348,The Wandering Jew — Volume 10,"Sue, Eugène",1804,1857,['en'],3,"{'France -- History -- Louis Philippe, 1830-1848 -- Fiction', 'Wandering Jew -- Fiction', 'Jesuits -- Fiction', 'Inheritance and succession -- Fiction', 'Historical fiction'}",Text,1909,105,4,10
21016,28641,PG3577,Recollections of the Private Life of Napoleon — Volume 10,"Wairy, Louis Constant",1778,1845,['en'],3,"{'Valets -- France -- Biography', 'Napoleon I, Emperor of the French, 1769-1821 -- Contemporaries', 'Wairy, Louis Constant, 1778-1845', 'Napoleon I, Emperor of the French, 1769-1821', 'Napoleon I, Emperor of the French, 1769-1821 -- Relations with valets'}",Text,1840,62,3,5
23380,31825,PG38646,The Eldest Son,"Marshall, Archibald",1866,1934,['en'],3,"{'England -- Social life and customs -- Fiction', 'Families -- Fiction', 'Inheritance and succession -- Fiction', 'Country life -- England -- Fiction', 'Upper class -- England -- Fiction'}",Text,1898,32,1,10
23623,32144,PG38933,By Canadian Streams,"Burpee, Lawrence J. (Lawrence Johnstone)",1873,1946,['en'],3,"{'Rivers -- Canada', 'Canada -- History'}",Text,1884,11,-1,10
6012,8384,PG17548,"Letters Concerning Poetical Translations: And Virgil's and Milton's Arts of Verse, &c.","Benson, William",1682,1754,['en'],3,"{'Poetry -- Translating -- Early works to 1800', 'Virgil -- Versification', 'Latin language -- Metrics and rhythmics -- Early works to 1800', 'English language -- Versification -- Early works to 1800', 'Latin language -- Translating into English -- Early works to 1800', 'Benson, William, 1682-1754 -- Correspondence', 'Milton, John, 1608-1674 -- Versification'}",Text,1909,227,4,10
5827,8166,PG17351,The Rivals of Acadia: An Old Story of the New World,"Cheney, H. V. (Harriet Vaughan)",1796,1889,['en'],3,"{""Aulnay, Charles de Menou d', 1604?-1650 -- Fiction"", 'La Tour, Charles de Saint-Etienne de, 1593-1666 -- Fiction', 'Acadia -- Fiction'}",Text,1889,93,4,10
3593,5224,PG14702,Le loup blanc,"Féval, Paul",1817,1887,['fr'],3,"{'Brittany (France) -- Fiction', 'France -- History -- Regency, 1715-1723 -- Fiction'}",Text,1843,26,1,6
19439,26607,PG33949,Valikoima Jaakko Juteinin runoja,"Juteini, Jaakko",1781,1855,['fi'],3,{'Poetry'},Text,1881,100,4,10
4987,7107,PG16398,What Necessity Knows,"Dougall, L. (Lily)",1858,1923,['en'],3,{'Fiction'},Text,1892,34,1,10
20742,28309,PG35480,"The Dusantes: A Sequel to ""The Casting Away of Mrs. Lecks and Mrs. Aleshine""","Stockton, Frank Richard",1834,1902,['en'],4,"{'Friendship -- Fiction', 'American fiction -- 19th century', 'Travel -- Fiction'}",Text,1911,77,4,
4275,6148,PG15534,Children of the Market Place,"Masters, Edgar Lee",1868,1950,['en'],4,"{'Historical fiction', 'Douglas, Stephen A. (Stephen Arnold), 1813-1861 -- Fiction'}",Text,1899,31,1,10
17368,23882,PG31496,Ditte: Girl Alive!,"Andersen Nexø, Martin",1869,1954,['en'],4,"{'Danish fiction -- Translations into English', 'Denmark -- Fiction'}",Text,1878,9,-1,9
14663,20270,PG28245,Prisoners of Poverty Abroad,"Campbell, Helen",1839,1918,['en'],4,{'Women -- Employment'},Text,1897,58,3,10
3613,5247,PG14723,How It Happened,"Bosher, Kate Langley",1865,1932,['en'],4,{'Christmas stories'},Text,1918,53,3,
7834,10738,PG19667,An Essay on the Influence of Tobacco upon Life and Health,"Mussey, R. D. (Reuben Dimond)",1780,1866,['en'],4,{'Tobacco use'},Text,1829,49,2,4
16781,23123,PG30812,With the French in France and Salonika,"Davis, Richard Harding",1864,1916,['en'],4,"{'World War, 1914-1918 -- Personal narratives'}",Text,1914,50,3,
6475,8961,PG18067,L'effrayante aventure,"Lermina, Jules",1839,1915,['fr'],4,"{'Monsters -- Fiction', 'Paris (France) -- Fiction'}",Text,1871,32,1,9
10053,13857,PG22473,"Onder de wilde stammen op de grenzen van Afghanistan: De Aarde en haar Volken, 1917","Pennell, T. L. (Theodore Leighton)",1867,1912,['nl'],4,"{'Afghanistan -- Social life and customs', 'Afghans', 'Missions -- Asia, Central', 'Punjab (India) -- Social life and customs'}",Text,1908,41,2,10
11597,16010,PG24410,Hollow Tree Nights and Days,"Paine, Albert Bigelow",1861,1937,['en'],4,"{'Imaginary places -- Juvenile fiction', 'Animals -- Juvenile fiction', 'Trees -- Juvenile fiction'}",Text,1915,54,3,
