,as.vector.unlist.infos..
1,"Austen, Jane, 1775-1817"
2,"Dickens, Charles, 1812-1870"
3,"Twain, Mark, 1835-1910"
4,"Twain, Mark (Spirit), 1835-1910"
5,"Doyle, Arthur Conan, 1859-1930"
6,"Wilde, Oscar, 1854-1900"
7,"Shakespeare, William, 1564-1616"
8,"Dostoyevsky, Fyodor, 1821-1881"
9,"Stevenson, Robert Louis, 1850-1894"
10,"Carroll, Lewis, 1832-1898"
11,"Conrad, Joseph, 1857-1924"
12,"Tolstoy, Leo, graf, 1828-1910"
13,"Doré, Gustave, 1832-1883"
14,"Melville, Herman, 1819-1891"
15,"Joyce, James, 1882-1941"
16,"Ibsen, Henrik, 1828-1906"
17,"Nietzsche, Friedrich Wilhelm, 1844-1900"
18,"Poe, Edgar Allan, 1809-1849"
19,"Shelley, Mary Wollstonecraft, 1797-1851"
20,"Swift, Jonathan, 1667-1745"
21,"Dumas, Alexandre, 1802-1870"
22,"Dumas, Alexandre, 1824-1895"
23,"Stoker, Bram, 1847-1912"
24,"Garnett, Constance, 1861-1946"
25,"Hawthorne, Nathaniel, 1804-1864"
26,"Dante Alighieri, 1265-1321"
27,"Ellis, Havelock, 1859-1939"
28,"Homer, 1830-1893"
29,Homer F.
30,"Homer, 750? BC-650? BC"
31,"Homer B. (Homer Bezaleel), 1863-1949"
32,"Widger, David, 1932-"
33,"Plato, 427? BC-347? BC"
34,"Plato (spurious and doubtful works), 427? BC-347? BC"
35,"Verne, Jules, 1828-1905"
36,"Jowett, Benjamin, 1817-1893"
37,"Hugo, Victor, 1802-1885"
38,"Kafka, Franz, 1883-1924"
39,"Pope, Alexander, 1688-1744"
40,"Kipling, Rudyard, 1865-1936"
41,"Thoreau, Henry David, 1817-1862"
42,"James, Henry, 1843-1916"
43,"James, Henry, 1879-1947"
44,"Maude, Louise, 1855-1939"
45,"Maude, Aylmer, 1858-1938"
46,"Grimm, Wilhelm, 1786-1859"
47,"Grimm, Jacob, 1785-1863"
48,"Burroughs, Edgar Rice, 1875-1950"
49,"Cervantes Saavedra, Miguel de, 1547-1616"
50,"London, Jack, 1876-1916"
51,"Bierce, Ambrose, 1842-1914?"
52,"Cary, Henry Francis, 1772-1844"
53,"Hardy, Thomas, 1840-1928"
54,"Goethe, Johann Wolfgang von, 1749-1832"
55,"Shaw, Bernard, 1856-1950"
56,"Buckley, Theodore Alois, 1825-1856"
57,"Russell, Bertrand, 1872-1970"
58,"Gilman, Charlotte Perkins, 1860-1935"
59,"Brontë, Charlotte, 1816-1855"
60,"Eliot, George, 1819-1880"
61,"Lang, Andrew, 1844-1912"
62,"Defoe, Daniel, 1661?-1731"
63,"Alcott, Louisa May, 1832-1888"
64,"Morley, Henry, 1822-1894"
65,"Burnett, Frances Hodgson, 1849-1924"
66,"Balzac, Honoré de, 1799-1850"
67,"Chekhov, Anton Pavlovich, 1860-1904"
68,"Hapgood, Isabel Florence, 1850-1928"
69,"Lockwood, Ingersoll, 1841-1918"
70,"Irving, Washington, 1783-1859"
71,"Collins, Wilkie, 1824-1889"
72,"Scott, Walter, 1771-1832"
73,"Scott, Walter Dill, 1869-1955"
74,"Longfellow, Henry Wadsworth, 1807-1882"
75,"Wharton, Edith, 1862-1937"
76,"Ormsby, John, 1829-1895"
77,"Rizal, José, 1861-1896"
78,"Christie, Agatha, 1890-1976"
79,"Darwin, Charles, 1809-1882"
80,"Johnson, Charles Howard, 1868?-1896"
81,"Voltaire, 1694-1778"
82,"Machiavelli, Niccolò, 1469-1527"
83,"Byron, George Gordon Byron, Baron, 1788-1824"
84,"Chopin, Kate, 1850-1904"
85,"Maupassant, Guy de, 1850-1893"
86,"Morton, John Maddison, 1811-1891"
87,"Hesse, Hermann, 1877-1962"
88,"Burton, Richard Francis, Sir, 1821-1890"
89,"Whitman, Walt, 1819-1892"
90,"Stowe, Harriet Beecher, 1811-1896"
91,"Wittgenstein, Ludwig, 1889-1951"
